Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Mean number of children ever born to women age 40-49 ,1,I,Mean,0,Mean number of children ever born to women age 40-49 ,FE_FRTY_W_MNC,Fertility,,Fertility,Women,FEFRTYWMNC,,,FE_FRTY_W_N49,Completed fertility of women age 40-49,11803050,All women age 40-49,,,FE_FRTY_W_U49,
Number of women age 40-49,0,D,Number,0,Number of women age 40-49,FE_FRTY_W_N49,Fertility,,Fertility,Women,FEFRTYWN49,,,,Number of women age 40-49,11803060,All women age 40-49,,,FE_FRTY_W_U49,
Number of women age 40-49 (unweighted),0,U,Number,0,Number of women age 40-49 (unweighted),FE_FRTY_W_U49,Fertility,,Fertility,Women,FEFRTYWU49,,,FE_FRTY_W_N49,Number of women age 40-49 (unweighted),11803070,All women age 40-49,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 10-14 per 1,000 women",0,I,Rate,0,ASFR 10-14,FE_FRTT_W_A10,Fertility,,Fertility trends,Women,FEFRTTWA10,,,,Age specific fertility rate: 10-14 (five year periods),11833005,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 15-19 per 1,000 women",0,I,Rate,0,ASFR 15-19,FE_FRTT_W_A15,Fertility,,Fertility trends,Women,FEFRTTWA15,21165001,,,Age specific fertility rate: 15-19 (five year periods),11833010,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 20-24 per 1,000 women",0,I,Rate,0,ASFR 20-24,FE_FRTT_W_A20,Fertility,,Fertility trends,Women,FEFRTTWA20,21165002,,,Age specific fertility rate: 20-24 (five year periods),11833020,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 25-29 per 1,000 women",0,I,Rate,0,ASFR 25-29,FE_FRTT_W_A25,Fertility,,Fertility trends,Women,FEFRTTWA25,21165003,,,Age specific fertility rate: 25-29 (five year periods),11833030,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 30-34 per 1,000 women",0,I,Rate,0,ASFR 30-34,FE_FRTT_W_A30,Fertility,,Fertility trends,Women,FEFRTTWA30,21165004,,,Age specific fertility rate: 30-34 (five year periods),11833040,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 35-39 per 1,000 women",0,I,Rate,0,ASFR 35-39,FE_FRTT_W_A35,Fertility,,Fertility trends,Women,FEFRTTWA35,21165005,,,Age specific fertility rate: 35-39 (five year periods),11833050,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 40-44 per 1,000 women",0,I,Rate,0,ASFR 40-44,FE_FRTT_W_A40,Fertility,,Fertility trends,Women,FEFRTTWA40,21165006,,,Age specific fertility rate: 40-44 (five year periods),11833060,Per thousand women years exposed in the period,,,,
"Age-specific fertility rates for five-year periods preceding the survey for age group 45-49 per 1,000 women",0,I,Rate,0,ASFR 45-49,FE_FRTT_W_A45,Fertility,,Fertility trends,Women,FEFRTTWA45,21165007,,,Age specific fertility rate: 45-49 (five year periods),11833070,Per thousand women years exposed in the period,,,,
Percentage of women with no children ever born,1,I,Percent,0,0,FE_CEBA_W_CH0,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH0,25174000,,FE_CEBA_W_NUM,Women with no children ever born,11863010,All women,,,FE_CEBA_W_UNW,
Percentage of women with 1 child ever born,1,I,Percent,0,1,FE_CEBA_W_CH1,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH1,25174001,,FE_CEBA_W_NUM,Women with 1 child ever born,11863020,All women,,,FE_CEBA_W_UNW,
Percentage of women with 2 children ever born,1,I,Percent,0,2,FE_CEBA_W_CH2,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH2,25174002,,FE_CEBA_W_NUM,Women with 2 children ever born,11863030,All women,,,FE_CEBA_W_UNW,
Percentage of women with 3 children ever born,1,I,Percent,0,3,FE_CEBA_W_CH3,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH3,25174003,,FE_CEBA_W_NUM,Women with 3 children ever born,11863040,All women,,,FE_CEBA_W_UNW,
Percentage of women with 4 children ever born,1,I,Percent,0,4,FE_CEBA_W_CH4,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH4,25174004,,FE_CEBA_W_NUM,Women with 4 children ever born,11863050,All women,,,FE_CEBA_W_UNW,
Percentage of women with 5 children ever born,1,I,Percent,0,5,FE_CEBA_W_CH5,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH5,25174005,,FE_CEBA_W_NUM,Women with 5 children ever born,11863060,All women,,,FE_CEBA_W_UNW,
Percentage of women with 6 children ever born,1,I,Percent,0,6,FE_CEBA_W_CH6,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH6,25174006,,FE_CEBA_W_NUM,Women with 6 children ever born,11863070,All women,,,FE_CEBA_W_UNW,
Percentage of women with 7 children ever born,1,I,Percent,0,7,FE_CEBA_W_CH7,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH7,25174007,,FE_CEBA_W_NUM,Women with 7 children ever born,11863080,All women,,,FE_CEBA_W_UNW,
Percentage of women with 8 children ever born,1,I,Percent,0,8,FE_CEBA_W_CH8,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH8,25174008,,FE_CEBA_W_NUM,Women with 8 children ever born,11863090,All women,,,FE_CEBA_W_UNW,
Percentage of women with 9 children ever born,1,I,Percent,0,9,FE_CEBA_W_CH9,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWCH9,25174009,,FE_CEBA_W_NUM,Women with 9 children ever born,11863100,All women,,,FE_CEBA_W_UNW,
Percentage of women with 10+ children ever born,1,I,Percent,0,10+,FE_CEBA_W_C10,Fertility,FE_CEBA_W_TOT,Children ever born to all women,Women,FECEBAWC10,25174010,,FE_CEBA_W_NUM,Women with 10+ children ever born,11863110,All women,,,FE_CEBA_W_UNW,
Percentage of women: Total,1,T,Percent,0,Total,FE_CEBA_W_TOT,Fertility,,Children ever born to all women,Women,FECEBAWTOT,25149000,,FE_CEBA_W_NUM,Women: Total,11863120,All women,,,FE_CEBA_W_UNW,
Number of women,0,D,Number,0,Number of women,FE_CEBA_W_NUM,Fertility,,Children ever born to all women,Women,FECEBAWNUM,25149001,,,Number of women,11863130,All women,,,FE_CEBA_W_UNW,
Number of women (unweighted),0,U,Number,0,Number of women (unweighted),FE_CEBA_W_UNW,Fertility,,Children ever born to all women,Women,FECEBAWUNW,,,FE_CEBA_W_NUM,Number of women (unweighted),11863140,All women,,,,
Mean number of children ever born for all women,2,I,Mean,0,Mean number of children ever born,FE_CEBA_W_MNC,Fertility,,Children ever born to all women,Women,FECEBAWMNC,125173000,77,FE_CEBA_W_NUM,Mean number of children ever born,11863150,All women,,,FE_CEBA_W_UNW,
Mean number of living children for all women,2,I,Mean,0,Mean number of living children,FE_CEBA_W_MNL,Fertility,,Children ever born to all women,Women,FECEBAWMNL,125173001,77,FE_CEBA_W_NUM,Mean number of living children,11863160,All women,,,FE_CEBA_W_UNW,
Mean number of children born to women who have died,2,I,Mean,0,Mean number of children died to all women,FE_CEBA_W_MND,Fertility,,Children ever born to all women,Women,FECEBAWMND,,,FE_CEBA_W_NUM,Mean number of children died,11863170,All women,,,FE_CEBA_W_UNW,
Percentage of currently married or in union women with no children ever born,1,I,Percent,0,0,FE_CEBM_W_CH0,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH0,25174000,,FE_CEBM_W_NUM,Married women with no children ever born,11903010,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 1 child ever born,1,I,Percent,0,1,FE_CEBM_W_CH1,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH1,25174001,,FE_CEBM_W_NUM,Married women with 1 child ever born,11903020,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 2 children ever born,1,I,Percent,0,2,FE_CEBM_W_CH2,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH2,25174002,,FE_CEBM_W_NUM,Married women with 2 children ever born,11903030,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 3 children ever born,1,I,Percent,0,3,FE_CEBM_W_CH3,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH3,25174003,,FE_CEBM_W_NUM,Married women with 3 children ever born,11903040,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 4 children ever born,1,I,Percent,0,4,FE_CEBM_W_CH4,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH4,25174004,,FE_CEBM_W_NUM,Married women with 4 children ever born,11903050,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 5 children ever born,1,I,Percent,0,5,FE_CEBM_W_CH5,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH5,25174005,,FE_CEBM_W_NUM,Married women with 5 children ever born,11903060,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 6 children ever born,1,I,Percent,0,6,FE_CEBM_W_CH6,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH6,25174006,,FE_CEBM_W_NUM,Married women with 6 children ever born,11903070,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 7 children ever born,1,I,Percent,0,7,FE_CEBM_W_CH7,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH7,25174007,,FE_CEBM_W_NUM,Married women with 7 children ever born,11903080,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 8 children ever born,1,I,Percent,0,8,FE_CEBM_W_CH8,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH8,25174008,,FE_CEBM_W_NUM,Married women with 8 children ever born,11903090,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 9 children ever born,1,I,Percent,0,9,FE_CEBM_W_CH9,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWCH9,25174009,,FE_CEBM_W_NUM,Married women with 9 children ever born,11903100,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women with 10+ children ever born,1,I,Percent,0,10+,FE_CEBM_W_C10,Fertility,FE_CEBM_W_TOT,Children ever born to currently married women,Women,FECEBMWC10,25174010,,FE_CEBM_W_NUM,Married women with 10+ children ever born,11903110,Currently married women,,,FE_CEBM_W_UNW,
Percentage of currently married or in union women: Total,1,T,Percent,0,Total,FE_CEBM_W_TOT,Fertility,,Children ever born to currently married women,Women,FECEBMWTOT,25149000,,FE_CEBM_W_NUM,Married women: Total,11903120,Currently married women,,,FE_CEBM_W_UNW,
Number of currently married or in union women,0,D,Number,0,Number of currently married women,FE_CEBM_W_NUM,Fertility,,Children ever born to currently married women,Women,FECEBMWNUM,25149001,,,Number of married women,11903130,Currently married women,,,FE_CEBM_W_UNW,
Number of currently married or in union women (unweighted),0,U,Number,0,Number of currently married women (unweighted),FE_CEBM_W_UNW,Fertility,,Children ever born to currently married women,Women,FECEBMWUNW,,,FE_CEBM_W_NUM,Number of married women (unweighted),11903140,Currently married women,,,,
Mean number of children ever born for currently married or in union women,2,I,Mean,0,Mean number of children ever born to currently married women,FE_CEBM_W_MNC,Fertility,,Children ever born to currently married women,Women,FECEBMWMNC,125173000,,FE_CEBM_W_NUM,Mean number of children ever born to married women,11903150,Currently married women,,,FE_CEBM_W_UNW,
Mean number of living children for for currently married or in union women,2,I,Mean,0,Mean number of living children to currently married women,FE_CEBM_W_MNL,Fertility,,Children ever born to currently married women,Women,FECEBMWMNL,125173001,,FE_CEBM_W_NUM,Mean number of living children to married women,11903160,Currently married women,,,FE_CEBM_W_UNW,
Mean number of children born to currently married/in union women who have died,2,I,Mean,0,Mean number of children died to currently married women,FE_CEBM_W_MND,Fertility,,Children ever born to currently married women,Women,FECEBMWMND,,,FE_CEBM_W_NUM,Mean number of children died to married women,11903170,Currently married women,,,FE_CEBM_W_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 7-17 months,1,I,Percent,0,7-17,FE_BINT_C_I07,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI07,26172000,,FE_BINT_C_NUM,Previous birth interval: 7-17 months,11936010,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 18-23 months,1,I,Percent,0,18-23,FE_BINT_C_I18,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI18,26172001,,FE_BINT_C_NUM,Previous birth interval: 18-23 months,11936020,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 24-35 months,1,I,Percent,0,24-35,FE_BINT_C_I24,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI24,26172002,,FE_BINT_C_NUM,Previous birth interval: 24-35 months,11936030,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 36-47 months,1,I,Percent,0,36-47,FE_BINT_C_I36,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI36,26172003,,FE_BINT_C_NUM,Previous birth interval: 36-47 months,11936040,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 48-59 months,1,I,Percent,0,48-59,FE_BINT_C_I48,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI48,,,FE_BINT_C_NUM,Previous birth interval: 48-59 months,11936050,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is 60+ months,1,I,Percent,0,60+,FE_BINT_C_I60,Fertility,FE_BINT_C_TOT,Birth intervals,Children,FEBINTCI60,,,FE_BINT_C_NUM,Previous birth interval: 60+ months,11936060,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey: Total,1,T,Percent,0,Total,FE_BINT_C_TOT,Fertility,,Birth intervals,Children,FEBINTCTOT,26149000,,FE_BINT_C_NUM,Previous birth interval: Total,11936070,Non-first births,,,FE_BINT_C_UNW,
Number of non-first births in the five years preceding the survey,0,D,Number,0,Number of non-first births,FE_BINT_C_NUM,Fertility,,Birth intervals,Children,FEBINTCNUM,26149001,,,Number of non-first births,11936080,Non-first births,,,FE_BINT_C_UNW,
Number of non-first births in the five years preceding the survey (unweighted),0,U,Number,0,Number of non-first births (unweighted),FE_BINT_C_UNW,Fertility,,Birth intervals,Children,FEBINTCUNW,,,FE_BINT_C_NUM,Number of non-first births (unweighted),11936090,Non-first births,,,,
Median duration of the preceding birth interval in months for non-first births in the five years preceding the survey,1,I,Median,0,Median number of months since preceding birth,FE_BINT_C_MED,Fertility,,Birth intervals,Children,FEBINTCMED,126156001,,FE_BINT_C_NUM,Median birth interval (months),11936100,Non-first births,,,FE_BINT_C_UNW,
Percentage of non-first births in the five years preceding the survey whose previous birth interval is less than 36 months,1,I,Percent,0,<36 months,FE_BINT_C_I3Y,Fertility,,Birth intervals,Children,FEBINTCI3Y,,,FE_BINT_C_NUM,Previous birth interval: <36 months,11936110,Non-first births,,,FE_BINT_C_UNW,
Percentage of births in the 2 years preceding the survey of birth order 1,1,I,Percent,0,Birth order 1,FE_BORD_C_BO1,Fertility,FE_BORD_C_TOT,Birth order,Children,FEBORDCBO1,,,FE_BORD_C_NUM,Births of birth order 1,11946010,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births in the 2 years preceding the survey of birth order 2,1,I,Percent,0,Birth order 2,FE_BORD_C_BO2,Fertility,FE_BORD_C_TOT,Birth order,Children,FEBORDCBO2,,,FE_BORD_C_NUM,Births of birth order 2,11946020,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births in the 2 years preceding the survey of birth order 3,1,I,Percent,0,Birth order 3,FE_BORD_C_BO3,Fertility,FE_BORD_C_TOT,Birth order,Children,FEBORDCBO3,,,FE_BORD_C_NUM,Births of birth order 3,11946030,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births in the 2 years preceding the survey of birth order 4,1,I,Percent,0,Birth order 4,FE_BORD_C_BO4,Fertility,FE_BORD_C_TOT,Birth order,Children,FEBORDCBO4,,,FE_BORD_C_NUM,Births of birth order 4,11946040,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births in the 2 years preceding the survey of birth order 5+,1,I,Percent,0,Birth order 5,FE_BORD_C_BO5,Fertility,FE_BORD_C_TOT,Birth order,Children,FEBORDCBO5,,,FE_BORD_C_NUM,Births of birth order 5+,11946050,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births in the 2 years preceding the survey: Total,1,T,Percent,0,Total,FE_BORD_C_TOT,Fertility,,Birth order,Children,FEBORDCTOT,,,FE_BORD_C_NUM,Births in the 2 years preceding the survey: Total,11946060,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Number of births in the 2 years preceding the survey,0,D,Number,0,Number of births,FE_BORD_C_NUM,Fertility,,Birth order,Children,FEBORDCNUM,,,FE_BORD_C_NUM,Number of births in the 2 years preceding the survey,11946070,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Number of births in the 2 years preceding the survey (Unweighted),0,U,Number,0,Number of births (Unweighted),FE_BORD_C_UNW,Fertility,,Birth order,Children,FEBORDCUNW,,,FE_BORD_C_NUM,Number of births in the 2 years preceding the survey (Unweighted),11946080,Births in the 2 years preceding the survey,,,FE_BORD_C_UNW,
Percentage of births whose mothers are postpartum amenorrheic,1,I,Percent,0,Births for which mother is amenorrheic,FE_PPIS_W_AMN,Fertility,,Postpartum insusceptibility,Women,FEPPISWAMN,59226000,,FE_PPIS_W_NUM,Postpartum amenorrheic,11963010,Births in the period,,,FE_PPIS_W_UNW,
Percentage of births whose mothers are postpartum abstaining,1,I,Percent,0,Births for which mother is abstaining,FE_PPIS_W_ABS,Fertility,,Postpartum insusceptibility,Women,FEPPISWABS,59226001,,FE_PPIS_W_NUM,Postpartum abstaining,11963020,Births in the period,,,FE_PPIS_W_UNW,
Percentage of births whose mothers are postpartum insusceptible,1,I,Percent,0,Births for which mother is insusceptible,FE_PPIS_W_INS,Fertility,,Postpartum insusceptibility,Women,FEPPISWINS,59226002,,FE_PPIS_W_NUM,Postpartum insusceptible,11963030,Births in the period,,,FE_PPIS_W_UNW,
Number of births,0,D,Number,0,Number of births,FE_PPIS_W_NUM,Fertility,,Postpartum insusceptibility,Women,FEPPISWNUM,59226003,,,Number of births,11963040,Births in the period,,,FE_PPIS_W_UNW,
Number of births (unweighted),0,U,Number,0,Number of births (unweighted),FE_PPIS_W_UNW,Fertility,,Postpartum insusceptibility,Women,FEPPISWUNW,,,FE_PPIS_W_NUM,Number of births (unweighted),11963050,Births in the period,,,,
Mean number of months of postpartum amenorrheic,1,I,Mean,0,Mean duration of amenorrhea,FE_PPIS_W_MNA,Fertility,,Postpartum insusceptibility,Women,FEPPISWMNA,113228000,,FE_PPIS_W_NUM,Mean duration postpartum amenorrheic,11963090,Births in the 3 years preceding the survey,,,FE_PPIS_W_UNW,
Mean number of months of postpartum abstaining,1,I,Mean,0,Mean duration of abstinence,FE_PPIS_W_MNB,Fertility,,Postpartum insusceptibility,Women,FEPPISWMNB,113228001,,FE_PPIS_W_NUM,Mean duration postpartum abstaining,11963100,Births in the 3 years preceding the survey,,,FE_PPIS_W_UNW,
Mean number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth),1,I,Mean,0,Mean duration of insusceptibility,FE_PPIS_W_MNI,Fertility,,Postpartum insusceptibility,Women,FEPPISWMNI,113228002,,FE_PPIS_W_NUM,Mean duration postpartum insusceptible,11963110,Births in the 3 years preceding the survey,,,FE_PPIS_W_UNW,
Median number of months of postpartum amenorrheic,1,I,Median,0,Median duration of amenorrhea,FE_PPID_W_MDA,Fertility,,Postpartum insusceptibility duration,Women,FEPPIDWMDA,112227000,,,Median duration postpartum amenorrheic,12003010,Births in the 3 years preceding the survey,,,,
Median number of months of postpartum abstaining,1,I,Median,0,Median duration of abstinence,FE_PPID_W_MDB,Fertility,,Postpartum insusceptibility duration,Women,FEPPIDWMDB,112227001,,,Median duration postpartum abstaining,12003020,Births in the 3 years preceding the survey,,,,
Median number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth),1,I,Median,0,Median duration of insusceptibility,FE_PPID_W_MDI,Fertility,,Postpartum insusceptibility duration,Women,FEPPIDWMDI,112227002,,,Median duration postpartum insusceptible,12003030,Births in the 3 years preceding the survey,,,,
Percentage of women whose first menstruation occurred by age 10 or younger,1,I,Percent,0,<=10,FE_MENA_W_M10,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM10,,,FE_MENA_W_NUM,Age at first menarche: <=10,12023010,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 11,1,I,Percent,0,11,FE_MENA_W_M11,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM11,,,FE_MENA_W_NUM,Age at first menarche: 11,12023020,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 12,1,I,Percent,0,12,FE_MENA_W_M12,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM12,,,FE_MENA_W_NUM,Age at first menarche: 12,12023030,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 13,1,I,Percent,0,13,FE_MENA_W_M13,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM13,,,FE_MENA_W_NUM,Age at first menarche: 13,12023040,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 14,1,I,Percent,0,14,FE_MENA_W_M14,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM14,,,FE_MENA_W_NUM,Age at first menarche: 14,12023050,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 15,1,I,Percent,0,15,FE_MENA_W_M15,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM15,,,FE_MENA_W_NUM,Age at first menarche: 15,12023060,All women,,,FE_MENA_W_UNW,
Percentage of women whose first menstruation occurred by age 16+,1,I,Percent,0,16+,FE_MENA_W_M16,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWM16,,,FE_MENA_W_NUM,Age at first menarche: 16+,12023065,All women,,,FE_MENA_W_UNW,
Percentage of women who have never menstruated,1,I,Percent,0,Never,FE_MENA_W_MNV,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWMNV,,,FE_MENA_W_NUM,Age at first menarche: Never,12023070,All women,,,FE_MENA_W_UNW,
